suburb,city,Count
Melbourne VIC 3004,Melbourne,1
Melbourne Victoria,Melbourne,1
"Melbourne, Victoria, AU",Boroondara,1
"Melbourne, Victoria, AU",Glen Eira,1
"Melbourne, Victoria, AU",Melton,1
Melton South ( STRATHTULLOH),Melton,1
Mentone,Bayside,1
Menzies Creek,Cardinia,1
Mlebourne,Glen Eira,1
Mont Albert,Boroondara,1
Mont Albert North,Manningham,1
Moonee Ponds,Moreland,1
Moreland City,Moreland,1
Mount Eliza,Frankston,1
Mount Waverley,Whitehorse,1
Mt Waverley,Whitehorse,1
Narbethong,Yarra Ranges,1
"North Melbourne, Victoria, AU",Melbourne,1
"Northcote, Victoria, AU",Darebin,1
Nunawading,Manningham,1
Oaklands junction,Hume,1
Officer South,Cardinia,1
Pakenham Upper,Cardinia,1
Parkville,Moreland,1
Pearcedale,Casey,1
Port Melbourne,Maribyrnong,1
Port Melbourne,Melbourne,1
Powelltown,Yarra Ranges,1
Praharan,Stonnington,1
Prahran,Port Phillip,1
Prahran / Toorak,Stonnington,1
Preston West,Darebin,1
Princes Hill,Moreland,1
Reservoir,Banyule,1
"Richmond, Victoria, AU",Yarra,1
Ringwood North,Manningham,1
Ripponlea,Glen Eira,1
Ripponlea (East St Kilda),Port Phillip,1
Rowville,Casey,1
STRATHTULLOH,Melton,1
STRTHTULLOCH,Melton,1
Saint Andrews,Nillumbik,1
Saint Helena,Banyule,1
Saint Kilda Beach,Port Phillip,1
"Saint Kilda, Victoria, AU",Port Phillip,1
Somerton VIC 3062,Hume,1
"South Melbourne, Melbourne",Port Phillip,1
South Yarra VIC 3141,Stonnington,1
"South Yarra, Victoria, AU",Stonnington,1
Southbank Melbourne,Melbourne,1
"Southbank, Melbourne",Melbourne,1
Springvale,Kingston,1
St Andrews,Nillumbik,1
St Kilda,Glen Eira,1
St Kilda / Elwood,Port Phillip,1
St Kilda East,Stonnington,1
St Kilda West Melbourne,Port Phillip,1
St Kilda east,Port Phillip,1
St. Andrews,Nillumbik,1
St. Kilda,Glen Eira,1
St. Kilda West,Port Phillip,1
St.Kilda East,Port Phillip,1
StKilda East,Glen Eira,1
Strathewen,Nillumbik,1
"Surrey Hills, Victoria, AU",Boroondara,1
"Thornbury, Victoria, AU",Darebin,1
Tooradin,Casey,1
Toorak,Yarra,1
"Toorak, Melbourne.",Stonnington,1
Tremont,Yarra Ranges,1
